c-value	ngram	nc-value
526.1294642857143	зависимость_s от_pr	421.01535134376434
513.1414141414141	право_s на_pr	410.6462784845037
429.5231092436975	вопрос_s о_pr	343.7384584364308
410.3454894433781	язык_s в_pr	328.4709928578362
409.02832861189796	влияние_s на_pr	327.3523350376206
393.3478260869565	изменение_s в_pr	314.83569183450476
372.61137440758296	участие_s в_pr	298.22863825809657
341.0294117647058	цена_s на_pr	272.9117081272471
340.75190839694665	роль_s в_pr	272.7211874890952
325.76381909547734	спрос_s на_pr	260.6980135967873
316.0428954423592	отношение_s к_pr	252.97164182704904
309.3097713097713	отношение_s между_pr	247.58539073692657
309.01785714285717	контроль_s за_pr	247.33475318765426
307.8058823529412	подход_s к_pr	246.33683536833908
284.06211180124217	государство_s в_pr	227.4002324133797
266.1309090909091	отношение_s в_pr	213.04176316061643
265.4940617577197	представление_s о_pr	212.51197295566382
263.2788944723618	информация_s о_pr	210.73121362318886
253.18840579710144	дело_s об_pr	202.56545211725506
250.2700296735905	связь_s между_pr	200.3185782946693
247.0079365079365	воздействие_s на_pr	197.721645514137
237.63486842105263	место_s в_pr	190.22209475752678
228.61864406779662	борьба_s с_pr	182.96660829384842
223.87012987012986	деятельность_s в_pr	179.22817546503555
221.49723756906081	решение_s о_pr	177.25914076369835
220.0606060606061	условие_s для_pr	176.12123280587448
216.23353293413174	закон_s от_pr	173.00552528204528
215.49686323713928	слово_s в_pr	172.52581823476262
213.04214559386972	связь_s с_pr	170.53418187999804
212.52247191011242	ответственность_s за_pr	170.0974686853968
210.78333333333333	управление_s в_pr	168.73954286896267
204.77272727272728	переход_s к_pr	163.89032992036408
203.17316017316017	закон_s о_pr	162.60920762968544
201.5755395683453	власть_s в_pr	161.37918230107198
199.7136752136752	различие_s между_pr	159.8675789133127
197.4620938628159	внимание_s на_pr	158.01505723938917
195.35714285714286	федерация_s в_pr	156.354304625977
192.8381742738589	человек_s в_pr	154.40846474745615
191.53636363636363	мера_s по_pr	153.28930396111284
186.22556390977445	служба_s по_pr	149.00901664648748
184.72941176470587	доступ_s к_pr	147.84976170052258
182.85714285714286	затрата_s на_pr	146.35821402715604
181.22818791946307	политика_s в_pr	145.10858198310382
178.6328125	ответ_s на_pr	142.9794530199607
168.71428571428572	различие_s в_pr	135.06817073711272
168.55709342560553	друг_s с_pr	134.8626154789269
163.62162162162159	производство_s по_pr	130.9405902955391
162.5196850393701	отношение_s с_pr	130.11240745853095
161.19758064516128	основание_s для_pr	129.02280750919968
161.16447368421052	работа_s по_pr	129.00711933417162
159.85576923076925	сведение_s о_pr	127.95814935917328
154.28834355828218	страна_s в_pr	123.55991261681915
153.86290322580646	собственность_s на_pr	123.15514831236511
149.09302325581396	требование_s к_pr	119.35610233616426
148.078125	борьба_s за_pr	118.53088349363948
147.7037037037037	россия_s в_pr	118.25709886119442
147.08163265306126	отказ_s от_pr	117.73563397434683
146.53424657534245	переход_s от_pr	117.29247120794176
145.90178571428572	функция_s по_pr	116.76077079916672
144.92391304347825	положение_s о_pr	116.001742907634
138.94666666666666	производство_s в_pr	111.26872023994207
138.08771929824562	расход_s на_pr	110.54203395550621
133.3684210526316	потребность_s в_pr	106.77879930978548
132.32846715328466	тенденция_s к_pr	105.90896257359475
132.05095541401275	вывод_s о_pr	105.67044682164355
124.75	время_s в_pr	99.8953356086462
122.71717171717172	право_s в_pr	98.27503016513256
122.37815126050421	система_s в_pr	98.01862401802174
121.23	наука_s о_pr	97.03724232081912
121.06766917293233	дело_s в_pr	96.9297170944737
120.66095238095238	язык_s с_pr	96.60920455653562
120.4203187250996	язык_s на_pr	96.43074251757064
119.01724137931036	налог_s на_pr	95.25785143419604
118.66666666666669	страна_s с_pr	94.9930292687972
118.11309523809523	значение_s для_pr	94.5564602632862
118.08955223880596	друг_s от_pr	94.47749555048215
117.04123711340206	труд_s в_pr	93.71318412654749
