c-value	ngram	nc-value
465.5231788079471	привести_v к_pr	372.5817062383059
378.01836734693876	зависеть_v от_pr	302.5740612391614
333.2315789473684	приводить_v к_pr	266.7223156381248
325.5268817204301	относиться_v к_pr	260.59953557044906
323.4091954022988	основать_partcp на_pr	258.8757387805019
306.2925531914894	состоять_v в_pr	245.1589023662756
293.2282157676349	говорить_v о_pr	234.7031764962071
290.998	заключаться_v в_pr	232.9186875629044
286.7312252964427	исходить_v из_pr	229.53721603873575
278.72146118721463	вести_v к_pr	223.13567362266892
273.03692307692313	находиться_v в_pr	218.5783235082675
230.8447204968944	находиться_partcp в_pr	184.76581234287858
199.31395348837208	включать_v в_pr	159.52949492585225
197.63231850117097	отличаться_v от_pr	158.21806184622795
196.7514792899408	свидетельствовать_v о_pr	157.4964530221755
186.7134831460674	входить_partcp в_pr	149.45656653123208
179.5388127853881	опираться_v на_pr	143.75795173801575
179.33656957928804	быть_v в_pr	143.5860924714822
175.69209809264302	состоять_v из_pr	140.6540954403258
174.9611650485437	направить_partcp на_pr	140.06385655357255
166.12135922330097	входить_v в_pr	133.00705143327772
165.71147540983603	основываться_v на_pr	132.6955067117653
163.24861878453038	влиять_v на_pr	130.71693959987448
163.19277108433738	связать_partcp с_pr	130.65716438723985
153.32432432432432	участвовать_v в_pr	122.74903530417551
150.49367088607596	относиться_partcp к_pr	120.488394652786
149.7556818181818	представить_partcp в_pr	119.90723416770146
148.27745664739882	проявляться_v в_pr	118.72764468528068
140.96638655462186	идти_v о_pr	112.82722858230281
134.3062200956938	указывать_v на_pr	107.5321939054551
124.625468164794	использоваться_v в_pr	99.78911644412852
121.74166666666666	превращаться_v в_pr	97.47439731607956
116.7303370786517	выражаться_v в_pr	93.47516829699758
106.91304347826087	осуществляться_v в_pr	85.61290782358643
103.97183098591549	делиться_v на_pr	83.25683215034275
103.61333333333332	использоваться_v для_pr	82.9581576803259
102.75524475524477	ориентировать_partcp на_pr	82.28511600548985
102.25454545454544	использовать_partcp в_pr	81.87141494019998
99.71428571428572	подразделяться_v на_pr	79.83946595460615
95.44520547945206	сводиться_v к_pr	76.4320234777385
92.56626506024095	происходить_v в_pr	74.13939594467013
89.54375	выступать_v в_pr	71.70965132997844
88.09649122807018	вступать_v в_pr	70.55676163809957
87.73737373737373	начинать_v с_pr	70.252587703055
87.41095890410959	отказаться_v от_pr	69.99760968259751
86.0	содержаться_partcp в_pr	68.85432063263839
81.64	превратиться_v в_pr	65.38144644140905
80.40298507462687	нуждаться_v в_pr	64.3850767728575
78.75373134328358	состоять_partcp из_pr	63.05189952466281
77.35416666666667	создать_partcp в_pr	61.93020608674815
76.5084745762712	стремиться_v к_pr	61.26892200465463
74.81538461538463	влиять_partcp на_pr	59.90176851186198
74.69565217391305	ориентироваться_v на_pr	59.82527802956898
74.63366336633662	обратиться_v к_pr	59.76884298638346
74.40860215053762	находиться_partcp на_pr	59.574128305620604
73.6044776119403	существовать_v в_pr	58.96947712909214
73.1875	использовать_partcp для_pr	58.5991732566499
73.0	закрепить_partcp в_pr	58.45570093457945
72.97826086956522	участвовать_partcp в_pr	58.43805082361767
72.57142857142857	базироваться_v на_pr	58.13475608503646
