c-value	ngram	nc-value
113.95454545454544	исполнительный_a орган_s	91.21390777163458
113.58333333333331	партийный_a система_s	90.97068793619142
113.54838709677419	муниципальный_a образование_s	90.91731829600803
112.54545454545456	трудовой_a ресурс_s	90.13502321318875
112.47368421052632	главный_a образ_s	90.05208351553527
110.53623188405795	социальный_a группа_s	88.5276672398264
110.25	значительный_a часть_s	88.2610391049075
109.68506493506493	естественный_a язык_s	87.84564804863908
108.740099009901	немецкий_a язык_s	87.08872261104477
107.44444444444444	политический_a власть_s	86.06870499612275
107.51136363636364	ключевой_a слово_s	86.04205867246745
106.25	внешний_a торговля_s	85.08897751190872
105.8507462686567	предпринимательский_a деятельность_s	84.77925659175045
104.296875	акционерный_a общество_s	83.52844937409992
103.22666666666666	экономический_a политика_s	82.68426897086518
103.02631578947368	западный_a европа_s	82.49108697299914
102.58518518518518	больший_a часть_s	82.15058971234446
100.70588235294115	промышленный_a производство_s	80.66874930763264
100.65060240963855	политический_a экономия_s	80.61216244172437
100.45390070921984	больший_a степень_s	80.41585126417436
99.75675675675676	гражданский_a общество_s	79.90005479058321
99.74558303886927	речевой_a акт_s	79.88158884164156
99.45161290322581	материальный_a ресурс_s	79.6567373149369
99.4	разный_a язык_s	79.60658469037334
98.85923753665688	экономический_a субъект_s	79.19249693084318
98.28571428571428	исключительный_a право_s	78.68675244108944
97.45833333333331	развитый_a страна_s	78.05648609726376
96.36363636363636	чрезвычайный_a положение_s	77.15688892917208
95.66666666666669	латинский_a язык_s	76.63593663454084
94.97297297297294	основной_a направление_s	76.05195764059171
94.85416666666669	верховный_a суд_s	75.94162512462614
94.63888888888887	государственный_a дума_s	75.78231970754402
94.6	советский_a союз_s	75.76837930652486
94.45967741935483	экономический_a отношение_s	75.67216200859785
93.62962962962965	грамматический_a категория_s	74.99099737823569
93.32520325203251	научный_a исследование_s	74.74561734849651
92.26436781609196	экономический_a наука_s	73.89991787090835
90.65384615384615	французский_a язык_s	72.60862029296725
89.8470254957507	человеческий_a язык_s	71.97794165504745
89.6822429906542	большой_a количество_s	71.8028676172935
89.53658536585365	общественный_a жизнь_s	71.71704939382394
88.9142857142857	политический_a институт_s	71.23788697399863
88.65	политический_a участие_s	71.01305417082087
88.63492063492062	первый_a этап_s	70.96283846872082
88.44827586206898	государственный_a бюджет_s	70.8498359328146
87.73684210526315	сельскохозяйственный_a культура_s	70.25771340947917
87.59793814432992	наш_a взгляд_s	70.13759500421989
87.28767123287672	информационный_a технология_s	69.90156714028387
86.48076923076924	экономический_a деятельность_s	69.29083007388094
86.4	банковский_a система_s	69.20529965658581
86.05970149253731	национальный_a экономика_s	68.93622912357456
85.85714285714286	национальный_a язык_s	68.78413014923484
85.35714285714286	конституционный_a закон_s	68.32971561505958
85.24675324675323	дальнейший_a развитие_s	68.27151359773492
85.02857142857142	арбитражный_a суд_s	68.09694598743452
84.97101449275362	территориальный_a орган_s	68.03397344199287
84.77272727272727	государственный_a собственность_s	67.91017251276473
84.5925925925926	следующий_a образ_s	67.73145747941362
84.2	отдельный_a вид_s	67.40643846239061
83.6173913043478	иностранный_a язык_s	66.9806971356462
82.95652173913044	неправительственный_a организация_s	66.42448403581527
82.71887550200803	родственный_a язык_s	66.27794741611845
82.5909090909091	государственный_a контроль_s	66.14761372448312
82.32432432432431	государственный_a служащий_s	65.94090401468266
82.07843137254902	государственный_a реестр_s	65.71049074997231
81.60176991150442	исторический_a развитие_s	65.34088197550906
80.72222222222223	гражданский_a война_s	64.65312950038773
79.6	политический_a элита_s	63.76880026586906
79.57803468208094	славянский_a язык_s	63.762616069581895
78.84375	коммерческий_a банк_s	63.165550570510696
78.44444444444444	первый_a половина_s	62.80392156862746
78.26470588235293	частный_a жизнь_s	62.69192422731803
77.51612903225806	правовой_a положение_s	62.07564832384567
77.02083333333333	правовой_a норма_s	61.7365957682508
76.86666666666666	вооруженный_a конфликт_s	61.56959344189653
76.78260869565217	гражданский_a право_s	61.509680619975825
76.6820809248555	внутренний_a форма_s	61.40326970277351
76.55737704918033	рыночный_a механизм_s	61.33374920775016
76.01960784313725	законный_a интерес_s	60.87282596654481
75.875	этнический_a группа_s	60.765780436468376
75.75	европейский_a страна_s	60.68773678963111
75.74666666666667	эффективный_a использование_s	60.6478484546361
74.8263888888889	отдельный_a слово_s	59.94472693032016
74.84210526315789	особый_a внимание_s	59.92528496382198
74.71111111111111	законодательный_a акт_s	59.82762379528082
73.83333333333333	политический_a поведение_s	59.13466267863077
73.78743961352656	экономический_a ресурс_s	59.104993232861794
73.5	уголовный_a ответственность_s	58.87047745651933
72.89285714285714	современный_a условие_s	58.37401762965073
72.85714285714286	мировой_a политика_s	58.37061513871086
72.86956521739131	внутренний_a рынок_s	58.37002904330488
72.40259740259741	различный_a форма_s	57.99018471281683
71.67226890756302	грамматический_a форма_s	57.41790818022125
69.92307692307692	промышленный_a предприятие_s	56.02327376843827
69.94117647058823	широкий_a распространение_s	56.00137365680735
69.72413793103448	большой_a часть_s	55.83126559020257
69.64	унитарный_a предприятие_s	55.77871097817658
69.58181818181818	массовый_a коммуникация_s	55.71370977975165
69.47058823529412	финансовый_a рынок_s	55.65483549351944
69.39393939393939	восточный_a европа_s	55.5704301237701
69.34042553191489	общий_a объем_s	55.501741112360314
69.13636363636364	образовательный_a учреждение_s	55.35838746387102
69.05405405405405	уголовный_a дело_s	55.30997637717478
68.54787234042553	каждый_a язык_s	54.89754236109638
68.47727272727273	значительный_a степень_s	54.82242968065501
68.3125	процентный_a ставка_s	54.716290018832396
68.09756097560975	рыночный_a цена_s	54.55180528874082
68.0	соединенный_a штат_s	54.47488645175585
67.8936170212766	внешний_a мир_s	54.39137528313405
67.71428571428571	языковой_a единица_s	54.25238570004273
67.42857142857143	многий_a страна_s	54.01546155185239
67.14285714285714	данный_a момент_s	53.777850575258356
66.66265060240964	сам_a себя_spro	53.39421708101933
66.6875	необходимый_a условие_s	53.389503711088956
66.3157894736842	промышленный_a продукция_s	53.12051681213669
66.27777777777777	политический_a режим_s	53.10313503932646
65.91666666666667	политический_a порядок_s	52.81497729035118
65.75	публичный_a власть_s	52.68272958901075
65.47887323943662	наш_a мнение_s	52.43261670387898
65.10526315789474	российский_a экономика_s	52.15572930331812
65.0	разный_a страна_s	52.05235404896422
64.66666666666667	научный_a знание_s	51.81076769690928
64.625	таможенный_a орган_s	51.77462058269636
64.06896551724138	новый_a слово_s	51.310428866656736
63.6	мировой_a рынок_s	50.9559499279938
63.375	налоговый_a система_s	50.77258225324028
63.22222222222222	экономический_a процесс_s	50.66283372105905
62.536585365853654	современный_a мир_s	50.086917567081954
61.93103448275862	социально-экономический_a развитие_s	49.59647265101248
61.75	языковой_a политика_s	49.461659466046314
61.38888888888889	новый_a форма_s	49.16933643513903
61.40298507462686	следующий_a вид_s	49.15579893817718
60.95833333333334	общественный_a организация_s	48.84117647058825
60.53571428571429	культурный_a наследие_s	48.46752124578646
60.18867924528302	основной_a задача_s	48.20945674506878
60.0	железный_a дорога_s	48.06008640744433
60.0	структурный_a перестройка_s	48.05075883460729
59.932203389830505	социальный_a структура_s	48.01238506702116
59.555555555555564	политический_a сила_s	47.70574941841144
59.228571428571435	учебный_a заведение_s	47.446931586193806
59.22	низкий_a уровень_s	47.42153007643736
58.859375	языковой_a знак_s	47.16699484878698
58.90196078431373	иностранный_a дело_s	47.14405671873269
58.72222222222222	политический_a отношение_s	47.06467264872051
58.5	политический_a сознание_s	46.875329566854994
58.50769230769231	основной_a принцип_s	46.86074562636876
58.15151515151515	социальный_a развитие_s	46.58721411523007
58.08695652173913	судебный_a практика_s	46.535744457448914
