c-value	ngram	nc-value
109.625	на_pr язык_s	87.75512167515564
109.36129032258064	к_pr число_s	87.53975584121595
108.84507042253522	для_pr обеспечение_s	87.13289197550898
108.17647058823529	в_pr итог_s	86.61075363931651
106.71171171171171	в_pr контекст_s	85.43154092729645
104.65625	с_pr момент_s	83.7597643301803
103.33333333333331	к_pr язык_s	82.71582181259599
102.76	на_pr развитие_s	82.24659649122809
102.42307692307692	в_pr расчет_s	81.97439006946647
101.95833333333331	в_pr основное_s	81.6151426954483
101.82587064676615	в_pr речь_s	81.51400721350801
101.79629629629628	во_pr франция_s	81.49608788997583
101.33333333333331	в_pr орган_s	81.09556148435605
100.95698924731182	в_pr ст_s	80.81367935968954
100.75182481751824	в_pr предложение_s	80.66222466927856
100.70860927152314	на_pr место_s	80.62770074085019
100.51851851851852	в_pr англия_s	80.46700981845295
98.72222222222223	в_pr закон_s	79.01634193009406
98.6355140186916	со_pr время_s	78.96959643607059
98.40495867768595	в_pr сознание_s	78.76586200237999
98.3739837398374	в_pr теория_s	78.7540176168194
98.22641509433964	в_pr действие_s	78.62660058545636
97.23636363636363	в_pr ссср_s	77.85155351722415
97.12903225806451	в_pr город_s	77.75884873474007
96.59171597633137	на_pr вопрос_s	77.30348030794683
95.35643564356435	в_pr наука_s	76.34200032178818
94.578125	по_pr обеспечение_s	75.69131397040991
92.6896551724138	для_pr осуществление_s	74.20050738637472
92.39240506329115	в_pr число_s	73.96639393502132
91.66666666666669	в_pr план_s	73.3832484436899
91.075	на_pr единица_s	72.88611367127496
90.06097560975608	для_pr достижение_s	72.09898664836757
90.0	в_pr часть_s	72.05474977766998
89.83333333333331	в_pr дело_s	71.91177944862154
89.46666666666668	к_pr начало_s	71.61365995634249
88.375	за_pr соблюдение_s	70.71865955210608
85.90476190476191	в_pr отрасль_s	68.77186514673782
85.33333333333333	с_pr позиция_s	68.31270110760772
84.5	в_pr эпоха_s	67.64047214811222
82.92957746478874	без_pr гражданство_s	66.36468226449814
82.2	в_pr организация_s	65.81504082787615
81.88311688311687	для_pr развитие_s	65.5433598659405
81.8258426966292	в_pr действительность_s	65.51141390991069
81.61206896551724	в_pr центр_s	65.33539856314869
81.4193548387097	на_pr должность_s	65.16211496483145
81.19767441860466	для_pr решение_s	65.0018940825432
80.69306930693071	в_pr роль_s	64.59049716274079
80.11206896551724	в_pr обращение_s	64.12273787918072
79.89393939393939	на_pr путь_s	63.94576029516607
79.83333333333333	с_pr законодательство_s	63.878858436413616
79.7	в_pr формирование_s	63.798822863610646
79.5	к_pr власть_s	63.64081170668607
78.08	в_pr интерес_s	62.51394744926833
77.88524590163935	при_pr условие_s	62.34161898665225
76.56451612903227	по_pr место_s	61.272811059907845
76.51515151515152	в_pr книга_s	61.25102492301135
74.96153846153847	во_pr внимание_s	60.00025995509867
74.8888888888889	на_pr выборы_s	59.94941655213304
74.57142857142857	на_pr запад_s	59.702190961274155
74.55555555555556	в_pr языкознание_s	59.67570000269491
73.75	в_pr регион_s	59.055849300671035
73.63559322033899	на_pr пример_s	58.94909224948649
73.5841584158416	в_pr сторона_s	58.9019131988387
72.70886075949367	в_pr будущее_s	58.22377871997266
72.64516129032258	в_pr собственность_s	58.155048912604094
71.54166666666667	в_pr китай_s	57.28318376586628
71.40425531914894	на_pr доля_s	57.15540360854092
70.92307692307692	в_pr рука_s	56.77329054646542
70.75510204081633	на_pr формирование_s	56.64033355277595
70.44444444444444	в_pr бюджет_s	56.388686770690164
69.74074074074075	в_pr промышленность_s	55.83961337034343
69.1111111111111	до_pr конец_s	55.33421187377044
68.72897196261681	при_pr отсутствие_s	55.029050316475534
68.57575757575758	о_pr необходимость_s	54.88749586576412
68.5	к_pr вывод_s	54.80853747271405
67.73684210526315	к_pr сожаление_s	54.23804672972754
67.14285714285714	в_pr решение_s	53.76243835394939
67.14285714285714	в_pr русло_s	53.74971299215782
66.55844155844156	для_pr обозначение_s	53.2788657861663
66.26666666666667	на_pr душа_s	53.022501414827396
65.60317460317461	по_pr результат_s	52.51075538308137
65.0	за_pr рамка_s	52.022265340771284
64.42307692307692	в_pr среднее_s	51.57168977033154
64.18181818181819	с_pr участие_s	51.380089519987656
64.03125	в_pr управление_s	51.25999070256286
63.63636363636363	на_pr фон_s	50.944081611653765
63.641975308641975	для_pr определение_s	50.94378479053069
63.4	с_pr развитие_s	50.74853908965963
62.96666666666667	в_pr вопрос_s	50.40777427439567
62.88114754098361	в_pr словарь_s	50.33911643201076
62.67391304347826	на_pr право_s	50.15806486763894
62.551282051282044	на_pr принцип_s	50.06754354869805
62.5320197044335	между_pr язык_s	50.05552925695775
62.31818181818182	к_pr изучение_s	49.889083412343176
62.25757575757576	под_pr воздействие_s	49.84040453038756
62.140625	в_pr глаз_s	49.743545355323796
62.051282051282044	от_pr имя_s	49.666929109373925
61.801324503311264	в_pr противоположность_s	49.47461122363697
61.6829268292683	на_pr создание_s	49.3768693961497
61.62903225806453	с_pr начало_s	49.34243673700381
61.339622641509436	для_pr реализация_s	49.11396507092443
61.23333333333333	о_pr наличие_s	49.013815183119085
61.08333333333334	на_pr рубеж_s	48.90185140270031
60.793103448275865	в_pr деятельность_s	48.67985425186994
60.41379310344828	в_pr москва_s	48.36804636730871
60.0	в_pr япония_s	48.04487024011642
60.0	на_pr восток_s	48.037319104212145
59.1063829787234	по_pr управление_s	47.311155376430094
59.06060606060606	при_pr осуществление_s	47.28253772260564
59.07894736842106	по_pr контроль_s	47.279586061929024
58.85853658536586	со_pr значение_s	47.10985457349117
58.73333333333333	в_pr борьба_s	47.01402538604576
58.67857142857143	в_pr размер_s	46.96623817608538
58.36	для_pr выполнение_s	46.72299070256286
58.2	за_pr граница_s	46.595799175357755
58.15	в_pr март_s	46.55982536987631
57.68	по_pr данные_s	46.17620955614844
57.42307692307693	в_pr создание_s	45.97063875569818
57.275	между_pr человек_s	45.85086749130892
57.26829268292683	с_pr закон_s	45.832921800961884
57.019230769230774	на_pr получение_s	45.637649956155904
56.84105960264901	в_pr значение_s	45.50431344329635
56.55769230769231	для_pr россия_s	45.287531483796336
55.85714285714285	в_pr аренда_s	44.71418869755033
55.625	в_pr определение_s	44.53576683644595
55.31578947368421	в_pr совокупность_s	44.2945266391786
55.2	на_pr продукция_s	44.185951976715984
55.0625	в_pr декабрь_s	44.08756164605062
54.82926829268293	к_pr изменение_s	43.89665903547225
54.79245283018867	в_pr исследование_s	43.87273661939388
54.6595744680851	для_pr получение_s	43.76017635027857
54.51724137931034	к_pr середина_s	43.648250213966506
54.475409836065566	для_pr формирование_s	43.61581982454815
54.24242424242424	на_pr срок_s	43.41631792090197
54.214285714285715	для_pr себя_spro	43.40132589538362
54.13333333333333	в_pr труд_s	43.343338992642906
54.07692307692307	согласно_pr ст_s	43.2967231975721
53.29166666666666	о_pr порядок_s	42.648532621877266
53.03571428571429	при_pr необходимость_s	42.467782359123625
52.89090909090909	о_pr создание_s	42.346262724259326
52.86666666666667	со_pr слово_s	42.321969439728356
52.75	для_pr производство_s	42.22933139299863
52.54545454545455	в_pr индия_s	42.0750571443271
52.47222222222222	при_pr проведение_s	42.006850459482045
52.1875	на_pr работа_s	41.78157894736842
52.07692307692307	с_pr население_s	41.69193703862634
51.906976744186046	в_pr разработка_s	41.55298862309562
51.83333333333334	при_pr определение_s	41.49392836931038
51.75833333333333	по_pr значение_s	41.43570700945913
51.43298969072165	в_pr сочетание_s	41.17345942175025
51.35555555555555	при_pr рассмотрение_s	41.116459967122104
51.228571428571435	с_pr рост_s	41.00825935807261
51.01960784313725	в_pr ситуация_s	40.849771487542384
51.0	к_pr рост_s	40.81796426550247
50.84507042253521	для_pr выражение_s	40.712680155636704
50.69565217391305	за_pr совершение_s	40.575116613412916
50.555555555555564	в_pr законодательство_s	40.48195758212737
50.5	с_pr государство_s	40.42823186999758
50.31818181818182	в_pr правительство_s	40.285784843340025
49.865384615384606	при_pr использование_s	39.92265776102788
49.779411764705884	для_pr создание_s	39.8509204700556
49.74285714285714	на_pr товар_s	39.818184170102676
49.611111111111114	со_pr ст_s	39.695291993424426
49.35051546391753	к_pr возникновение_s	39.49902341487241
49.33333333333334	для_pr проведение_s	39.49772819144637
